puuid,win_rate,kda,kill_death_ratio,avg_damage,avg_cs,avg_vision_score,avg_game_duration,avg_champion_level,avg_gold_earned,gold_efficiency,unique_champions,total_games_played,unique_play_days,avg_time_between_games_hrs,median_time_between_games_hrs,play_frequency,feature_window_days,kda_trend,winrate_trend,last_gap_days,churn
MglPdlTBym6pTir2s37Ml6bUxy9rQv_SXQs5a9a4uRwPWPKWM9Rr7Ej9yOIYzM9C1PDe1SHBx_gTrg,0.3333,2.6538,1.2802,19958.33,41.36,49.03,1787.88,14.91,12450.61,0.9277,3,33,5,6.0779,0.7585,4.0635,8.12,-0.4725,0.0404,0.0304,0
MnNRfCyQfdCTVK8_j0J2EEp0_nT5Dhi1LL3papmtN-1wsKG1TYMjDpIQ8AnGhlkQ2FeqYbMQljuIiA,0.6562,2.4064,1.105,28752.09,209.28,19.56,1720.34,14.38,13906.19,0.8993,13,32,14,13.354,2.8716,1.8527,17.27,-0.3914,-0.1875,0.0378,1
MpH2gVzqHLKbPuLZ8n5cs22SAouq4ZDscOX9qhCDBFRPkUsG_X59c8gZq5fEIjVq4y5bHAhGVyZYug,0.5789,3.3367,0.4388,12210.37,41.68,62.58,1683.63,13.42,9222.26,0.925,6,19,4,5.4654,1.1176,4.6156,4.12,-1.2897,-0.3778,0.0267,0
Mt7Pr4sflP-IQ-a5CvDSHW7PxbpxqXrwP49vn6W00rjM_MJjZ8s7ndSUKiHos4irLosTktmfrDtpiA,0.6061,2.1852,0.7716,18584.27,193.24,18.45,1578.88,13.94,11180.91,0.9051,12,33,7,10.5542,0.5606,2.3413,14.09,-1.0938,-0.4007,0.0232,1
NFKOnLjncmyCTwhIHsikMTl5DayFfm0llOOwOH2kEeWmDXA0vuErsWhxcQeV6ahM4tsBjv72GMV_0Q,0.6562,3.2924,0.8433,30735.12,50.41,0.0,1132.91,17.12,13784.72,0.917,26,32,9,6.2066,1.5668,3.9846,8.03,0.4225,-0.3125,0.0653,1
NPC_4g9soF9ubzv1nwzKAMrUZtDiO8sjMCt8YI6zfg4j-DVhb_dolr3gGKB20o5re5TRCC0YT7y6zA,0.7097,3.5328,2.1095,19492.39,67.61,28.26,1568.58,14.94,13657.45,0.8609,7,31,12,14.9797,0.8846,1.654,18.74,3.7348,0.3417,1.6415,0
NQX1fU4ngoSrEZmvEjjruQS7CtzrMPMUedkYNY6ilKmjaM2FKNVW4pPPdl4YgaUjSW-fWPGS6hM3Yg,0.5143,3.2548,1.586,21242.54,193.69,22.63,1708.23,14.17,13349.0,0.918,4,35,2,1.3565,0.5864,18.051,1.94,-0.0359,0.085,0.0316,0
O-w8dpzzAuVou8uLf0thBXxmvrfLhTdmYufyKABPstPkywq7QCjEnrJncnGl5VM342yMn2tdwGqEfQ,0.5385,1.8187,0.8421,19181.96,193.96,17.65,1543.31,13.85,12405.15,0.8918,12,26,7,6.3361,1.4702,3.9287,6.62,0.2229,0.1538,0.0588,1
OCJa186KSQZ28mK2n9qRTWqrFYZA82anuo3bhOBldu_pihNsouInIZKTtsTaYKdIQkw9OL2rhxKFdg,0.44,3.5,1.4095,29212.6,57.92,0.04,1082.88,15.96,13779.56,0.9153,18,25,6,7.692,0.4036,3.2453,7.7,0.3393,0.2051,0.01,0
OtR0by1abpNcx-JIpwxVWUBh7DfeMSmV1ADLxGL98K2zXM6Hce75PYJmRDM-CGWbFqgyrv1P76rsmg,0.5625,3.3587,0.8315,30957.19,41.5,0.0,1154.25,16.88,13217.25,0.9471,15,16,3,6.1388,1.5833,4.1605,3.85,0.1402,-0.125,0.5939,0
P3cqhMX9YutdKv_hkgvFusB3wPgy691nTtTEqn3IyDDYveK4PW0jGYc_hhEncrPGtWwZKBqidMY3iA,0.6071,4.7312,0.4086,7941.32,28.82,58.11,1584.86,12.43,7902.75,0.8673,4,28,8,5.9023,0.9283,4.207,6.66,-0.7792,0.0714,0.0298,0
P7YyHN2wWkNm7rxD-gySExIZpR3-06KuQgdflXT5IviRTfjMASSZsdA6Sd2zw2gGsc8j4kTJ83U23Q,0.6562,1.9396,0.8846,22027.72,177.75,24.94,1656.06,15.47,11504.38,0.9306,5,32,3,1.5303,0.5702,16.0491,1.99,-1.1088,-0.1875,0.0436,0
PK5IM1RDhmXsNzEl6YwOGH4FctEiis74Zw_0Mcz_ETexmWR0g5tzhV7x96tBx35e2QnTO2jV9x8J1A,0.5238,2.3897,1.2574,32686.62,180.0,24.33,1815.81,16.86,14079.33,0.9427,8,21,9,10.2193,8.8413,2.4581,8.54,-0.4956,-0.1455,0.8744,1
PTrqp174qqF0hFGHZUSG3tzRV5SC_5Jv2V2hVQZd4YrhA0_BH_YwyEDN6L4tlT4G5haenUVIgHE3lA,0.697,4.8636,0.3909,10310.06,20.45,68.48,1524.76,12.42,8057.03,0.877,9,33,9,24.7208,1.7228,1.0005,32.98,2.0531,0.1397,0.0441,1
PYgi_kY95zLyx6LVUvjAshl_bY3GtbFUL3HiWgmUrHlUQSEmjok72VF8rBORyheUyQESVIP8s1gvbQ,0.4688,2.8415,0.1829,4692.66,30.5,68.06,1630.84,12.38,7720.12,0.8958,2,32,5,5.4443,0.6175,4.5472,7.04,-0.0439,-0.0625,0.0297,0
PnMw639uBt7W2yZoiyCX91wxziuQhVKctbWaDl-_J_lOnhQkK-cwyP0_5I1lJM4Bj5UG2jwt06AIbA,0.4571,2.2873,1.1436,22198.26,217.4,18.57,1673.49,14.57,13421.69,0.9165,11,35,9,6.6559,0.8127,3.7027,9.45,-0.1105,-0.0261,0.5269,0
PtYIcM8ARGmEGstcTWL0bvFWqX6WVkkF8hVhMD1M2Ws8BtZsYzDyvyut-Bb-zd5EtEN79S0MEesDPw,0.5806,1.8962,0.9945,23701.39,221.16,19.29,1630.1,15.03,11980.0,0.9393,8,31,5,4.0121,0.5732,6.1584,5.03,1.3587,0.35,0.041,0
Q---7yTTU_JrDEOwrLD__JwNakh-i0tMWAtegvZEfIVbUPXjdL7kS9lFNGZNGYfJBA7rLQuclb17JQ,0.4286,1.7604,0.9447,21200.43,196.66,19.03,1603.06,14.57,11610.69,0.9504,2,35,4,1.8635,0.6222,13.1654,2.66,0.5485,0.1471,0.0187,0
Q9InB3-nMeMlHAjIAAJunDf8f-EBsnQ6eEf2lIYvEPvGBGS_wnh3A31bYKk4HZOJ48HbBVfLsXOmvw,0.6471,4.3691,1.5235,31794.74,47.44,0.0,1101.88,16.71,13522.94,0.932,17,34,8,9.3714,0.4204,2.6367,12.89,0.0586,0.1176,0.008,0
QKD-I8F2EQEMsDaqaYPQvmQ9vxyCBWzJP55-4EPxS3D_JJtVVkfrwm2DfIwt2HoVQkL_pvxut7yeXw,0.5484,1.4752,0.9554,30391.77,247.42,23.48,1690.52,16.77,13213.1,0.9406,1,31,7,6.5496,0.7301,3.7795,8.2,-0.6862,-0.1,1.8115,0
QRRQ1Ehn2dLQIA1ALgxPxw0tvwuELWuve4IW7tRP8jenJVI-OFXKknnsaUNCXmphXu5PyUfy_Gijkg,0.4375,1.7246,0.8357,17495.19,84.66,23.44,1466.81,13.78,10391.25,0.9084,17,32,3,1.6506,0.5809,14.8742,2.15,-0.5543,-0.125,0.0228,0
Qx34BE0Q6fnd57dFgPb8V12pmguRiJmJLGMk4MF3bzfuZ0XlOzpcSihwg852lq1Lnhpjaxr1zvLACw,0.5,1.8417,0.7986,19251.13,228.0,20.77,1725.7,16.77,12113.1,0.9511,10,30,9,9.9798,0.6924,2.4816,12.09,-0.3099,0.0667,0.019,0
RBSF5qdXUKAXTwopKepctg5aNNLu1LuK4NwyG-yFWiV_bblcwbaFw4SKNJ_yly16_Bg5oHQIqTBWjQ,0.4688,2.3961,0.6299,21582.62,169.91,24.94,1655.44,15.0,10307.44,0.9528,8,32,6,4.8833,0.6363,5.0521,6.33,-0.4,-0.1875,0.0299,0
RUXGXbECLWs20NCfKJuk5fXy9Y72NBkOma6pDI60uLLRkUadPUxqEf1RJqUQ4XIFuPSPuX0ud73Ipg,0.625,4.0194,1.9515,23912.75,70.96,31.0,1573.29,15.38,12858.04,0.9119,15,24,8,11.5031,0.6873,2.1733,11.04,3.3887,0.25,0.0293,0
RhI4hVtixiUpthIZItdnE78jvFjl_0hhlY4q--lbMSznobmI_re3ecd6ildpT2RVY0o7IEdOmIoWAA,0.4848,2.1483,1.1722,25573.24,187.09,16.36,1790.21,15.61,12737.7,0.919,5,33,6,5.3962,0.7098,4.5697,7.22,0.9088,0.0919,0.0713,0
RlsuE5L_7pyNP6dm_XOtCRPkmoQ5ufsLE93JD8_1PJC8FKHHw3EQVYOQqvZ6ZxtBEz6NSFR0WZgkvA,0.5357,1.9553,0.9609,24609.36,204.82,20.29,1770.18,15.64,12345.43,0.9498,16,28,3,1.6435,0.6691,15.0037,1.87,0.8763,0.2143,0.025,0
S0G6rTTfftaYfoYgza3um-Cu-k7Q6zaW0JsxO_s0VQTf8IgX43bP2mtmVHWW-9XcxXx5uICk5Yijmg,0.5312,2.5563,0.8944,20333.84,177.19,29.97,1640.88,15.78,10406.53,0.9368,10,32,3,1.1752,0.636,20.8796,1.53,0.1706,-0.0625,0.0228,0
S8EcAqQNi3pHoMSZvK-ZC1s5BWlDq6Jqkr4v7zlJRrABNn0OHBZyekZE1jN1waEE17EyZ_-yIXDfRw,0.6471,4.6341,2.0407,23537.5,31.94,55.44,1615.21,15.62,12530.44,0.8767,2,34,5,3.4551,0.6538,7.1404,4.76,-0.1079,-0.1176,0.0225,0
SBwZ8vctZ8VWgkZsWqv59_i_TYRn96tO2Btv9yCgEdpJpazEnwXFxAjqfNOskmjsW4bH0rI2KFlAIA,0.4444,1.9531,1.026,28739.44,199.41,17.15,1697.41,14.7,13900.37,0.9296,16,27,3,6.7416,0.7219,3.6837,7.33,-0.4434,-0.478,0.0785,1
SZYa8pAgWBxc-vOor1AWNxKzoW2FoSD1rKxd2CAWposWUsdMCTWNvuhKafzDMw1ALsAx-tDwUrOHdw,0.6333,2.0272,1.0136,23392.5,214.77,16.63,1638.03,16.4,11465.0,0.9036,3,30,3,1.9489,0.7979,12.6596,2.37,-0.5158,0.0667,0.2576,1
ScTDRTQ5gZmQ7E2OKllQuNQnIaBr3sFf7fzkHd3ic72ANmLm0ejRYtrZu-cSBln8n_IJslztASMIDw,0.6333,2.4111,0.8111,26666.03,183.8,27.13,1626.73,15.27,11337.57,0.9219,3,30,6,5.3739,0.6316,4.6084,6.51,-0.4087,-0.0667,0.4382,0
SgNgDdMJhLUTtyU5s_hVIu7S861hE44kU1X5nr5Lc7hfv-CtI40NcXWtepX6Tk0PsGuymtgGtS3-XA,0.4074,2.4444,0.8213,22586.37,71.04,66.67,1711.19,13.15,10844.93,0.9105,21,27,7,8.908,1.9012,2.7929,9.67,-1.1259,-0.2527,0.4576,0
Sk8oqaXWkXghfuHdROyFhFitFbGq4EDfPaMwpgu7KVpmOgcMhg4bOHq6PRbrfSIIYQGC6DZdybrrSw,0.5161,3.1168,0.7445,15706.0,103.48,38.81,1588.81,13.16,9272.58,0.915,7,31,7,4.9769,0.7507,4.968,6.24,-0.3287,-0.0333,0.0196,1
SwouGxyE8bpwmxpRJM1OVTS62etgxLlsRzAbVagY-7Mz0vkXp6XHxrc6q6CXlVlqeoxyKPNYPn7cVA,0.4231,1.85,1.0222,25588.46,191.54,21.69,1605.81,14.65,12459.31,0.9223,10,26,5,3.9138,1.0661,6.3506,4.09,-0.4491,-0.0769,0.2202,1
Sy9wXFqOUGaeiFlFuipgU1CHwterDaMTyNjHxL_DtQ0ED8XZr7r6OYFkM2M3Aruk_Mal-Ntl7zSxaw,0.4375,3.4595,0.9189,25364.97,49.69,0.16,1038.53,15.62,12416.28,0.9248,23,32,5,3.2281,0.8003,7.6711,4.17,-1.1027,-0.25,0.2084,0
SzTO5I-rriBYP10h3lD8b22nzLfBeu_AdvKiMoRuBHkUgNHJO7Lfuj3zvxFMFcn5QJxK85sJFbAmcQ,0.5,2.7067,1.4267,22565.88,144.38,18.62,1569.75,15.94,11996.25,0.9284,4,16,5,6.5856,1.3613,3.871,4.13,-1.0449,0.0,0.9624,1
TOe6Le64XYftIESG3926PNtByxvwioTZFMDm31VBT1wm3gD8194QqPeBUON-amqQsj-rSQ1f5Oxgig,0.3939,2.5678,0.9749,22747.97,167.55,26.79,1716.64,14.94,12026.64,0.9708,15,33,6,5.4895,0.9517,4.4992,7.33,-0.0821,-0.2059,0.5285,0
TZRTC-Np9kmTduQ8G1BmWRBQ2F_B6BqzK2sa9i7kgWDNWqdYWoZ0nokTkq-6JeUVDpNt37TrS2UjLw,0.4444,1.8166,0.8521,22476.48,214.41,18.7,1716.22,15.67,11990.19,0.9245,7,27,5,2.937,0.6183,8.4388,3.2,-0.5835,-0.1813,0.0205,1
TboX2Ac5BD6z_JC5TkfDBbFX6_JXOwyP86sx3t4ZnTEHWI0YJQ1ecGfVzMHrWGNedGCcZdeqUcF9Pg,0.5294,3.3933,1.18,20705.41,153.44,42.82,1669.44,14.29,10863.15,0.9153,18,34,7,5.3251,0.6217,4.6312,7.34,0.4613,0.2353,0.1488,0
U3FmbphRXfLg_LVgUg_HdiJcA0UXcRwS2hPKuhJGMo9iH4FmY1XNVCPKeNoXI0Lelf0XJlZqz0kY5A,0.5882,3.1217,1.0106,34055.21,48.65,0.21,1082.71,16.21,13220.74,0.9175,27,34,6,3.5552,0.4061,6.9406,4.9,-0.1097,0.1176,0.9773,0
UOmZY41CWepBatJpW-Btu0OF-22gXzS7j7sQTw8zRiBHvcJ7cPYYo9HCdgaJL7a4Nkz5QOaQ1j7bKg,0.5517,2.0,1.2917,31470.38,171.9,18.14,1596.59,14.1,14713.14,0.8952,4,29,6,5.0503,0.6981,4.9055,5.91,0.7191,0.2381,0.8949,0
UeJSzcOSZ-tAzerODyeYN8kfQ2WaHdfXxldSd0ErDe6ef0PoHNcMLDZWpxc59lKyIQprdOP9TiMrDw,0.56,3.8679,0.8585,11788.32,24.28,15.72,1610.52,15.16,11369.76,0.9024,1,25,6,8.8997,1.1868,2.8041,8.92,-0.1743,-0.2051,1.7159,0
Uhd3HEYeDaNHuLCvfhM-RXeZATAemQO1Bx7BPr2oQv3XqOqkuyQYMg1j8yEndA4YnN0B4IEY49SzGw,0.5312,2.1481,1.0988,22415.31,204.53,22.09,1592.91,14.47,11810.44,0.9253,12,32,5,2.7078,0.6189,9.1082,3.51,0.6975,-0.0625,0.1315,0
V7L8BhgWwqwefscs_3nTIyDHXpWkTRUr9G1zHOritwXmub7FQyoq4AWl0kICN7BSH4BgXfe7sQXBCg,0.7,4.0569,2.2439,25051.73,70.8,21.1,1581.63,15.63,14198.0,0.903,8,30,6,81.8984,0.5334,0.3031,98.99,3.128,0.2,0.1766,0
VHCPdyBGqpXyo8qyFPFvAp7L_z7wGv0GLClUVgfx978ZP-obXJJADJZX_KGx7WPaHwDhH_Q2GT1yBg,0.5909,3.7979,2.1277,22254.5,31.68,30.91,1553.55,13.95,12371.68,0.8964,2,22,7,11.4088,0.6496,2.2007,10.0,1.1922,0.0909,1.1884,0
W5Kc-8XomzdHer5yn_MP9YaDhapmEwE2CnwR8Jdl-IxTlkpM0CfvN4Q9jtS-PxY1lB8PxmuCQzdfHQ,0.5152,3.1067,0.5112,11778.3,61.67,93.09,1820.0,13.21,9928.61,0.9201,20,33,5,3.0685,0.8703,8.0161,4.12,0.3684,0.0294,0.5544,0
W9rG3N-YDiI04lXFvVbKrZdeHiwG3ytZFv-bVPalBbsbibf2XhloM-xLhAKwOj3TkJT2XJuswlYhhQ,0.4286,1.9763,0.7633,16476.86,36.71,37.82,1678.54,15.04,11973.93,0.9117,10,28,6,8.5077,0.6976,2.9194,9.59,0.9479,0.1429,0.0266,0
WEMNm2fySBwZaDOIX2RnDq6ye9FaRzjjMRyfEAs5LhCchebMeLb7UxwQb9Ao4K4NJ2q-2gd-4sLGdg,0.4062,1.7251,0.655,15574.88,167.88,25.09,1589.34,14.78,10510.19,0.9242,4,32,4,2.3584,0.6206,10.4551,3.06,0.5184,0.0625,0.0229,1
WFItg6eIM02NSG-RiCRC6SZ9JxKkFyNd8sqYYtSMM7d3RX8_Vn3tdqBcJMEUbMpYVzlcWwxj7I8QKA,0.6,2.5939,0.697,21765.4,107.0,38.0,1654.52,13.56,11175.52,0.9171,9,25,7,5.8991,1.5818,4.2233,5.92,-0.0072,0.0321,0.8698,0
WNypfKTuuCop96XemYnAlGgFq8rMnPghawH8NgTMtep1Tqb7HBLxDUKrJqLX_0N8XG2SKI37n1LdOg,0.3929,3.6446,0.9091,17057.0,141.68,28.36,1688.61,14.57,11494.29,0.9415,5,28,6,6.0027,0.6533,4.1335,6.77,0.6296,0.2143,0.0496,0
WSSanjJbwiTRaVSp0F4kg6nlUUuMEV-5cjcPpeAiCIn7_HrScGQx0M9pNZjKpVDf5aZe-2Uk4iOLxw,0.5667,2.5541,1.2095,23776.3,208.93,17.73,1590.43,14.73,12786.9,0.9308,10,30,10,22.058,1.4908,1.1247,26.67,-0.5757,-0.0667,0.0291,0
WYBycrOOeqXQNi0DNYUnU_2-pCkOnTEVufwpwkuaWSJCXh4fEXNBSm2K3ziVedqkVh2g7jwBWOBWTg,0.5926,2.1749,1.1858,27879.3,192.74,17.19,1608.56,14.44,13206.96,0.9408,5,27,4,2.818,0.6392,8.79,3.07,-0.1292,-0.3407,0.0238,0
WkvX2KAC7euRwqU-jtEj4_ThJQsS25iJmVqphC5WCWOz_6-9asCBMCgXw_CmibNuzlbgYUkpafEdiQ,0.5312,3.7652,2.2261,20176.81,44.69,22.94,1684.75,15.91,14222.53,0.9376,6,32,5,2.5846,0.6993,9.5203,3.36,-0.4041,-0.0625,0.0163,1
WwcyIUrp_RKpQtDoIq0Lns3qigF5dJ0jtm2aAdmiriuavQs4XyR4VGzbDNNIIFUyVmlVxR_yZlfsiA,0.4839,1.8488,0.8488,26952.06,204.74,20.39,1727.39,14.74,13546.84,0.9346,10,31,5,3.5154,0.7174,7.0284,4.41,-0.6569,-0.225,0.025,0
XjjuLHhvnm7cSl3Mi75LZUZymBNupm5pbqSE_fEdne3V7EcWRbCkzD9XjF1XiJyxltuQpW2OhuT_aw,0.5238,2.5652,1.0761,20314.24,193.52,13.62,1553.86,13.29,11617.9,0.9734,10,21,4,3.2588,1.5551,7.6606,2.74,0.1638,0.0455,0.0541,0
Xo4yL4pXjTKDbFRSZRRvK0M5yq7ypdHo7w7EvH4gHHbkkPqVbSRRe-J0jmfiP3PvrQ0CBS7VJHLkFw,0.5143,3.3019,1.9119,23371.23,72.23,24.49,1677.71,15.54,13454.66,0.9474,2,35,4,2.1978,0.6522,11.194,3.13,0.6737,0.085,0.0234,1
XzkgHlqOwyQnvVeHAyvlXfJ76rbeD_H_9Y2Uiquel3iSjxMZDdIqkX7wvsBEn-Hb1Ye0e_m0jVqtdg,0.4643,2.2308,1.1598,26746.54,191.46,19.29,1593.25,13.93,13562.96,0.915,11,28,3,1.9731,0.7459,12.6087,2.22,0.1006,-0.0714,0.1137,0
Y1RDX6Zpn48eUH9svm8NeacPxVbVc583eGUyi_YtttR0gzZ0_ei6aUENIZZlFeF8b2ORA-n_kaQeLg,0.75,3.007,1.4789,23587.75,202.59,17.47,1619.22,15.12,12599.91,0.9182,7,32,5,3.8315,0.6452,6.4358,4.97,-0.3812,0.125,0.0382,0
YkAaPe3i8SYlFBcg77C0MIoMijvnLXD55wRUMogS-KDhwzg4recAh1pY8AFeqzZjpe5P137g34w08A,0.5333,2.5163,0.2011,9252.8,41.2,74.23,1761.87,13.2,8738.6,0.8953,12,30,5,3.9768,0.6812,6.2112,4.83,1.8174,0.4,0.0273,1
ZBpFC7UDlutYFD00u3g4fVGVo5RpJMh5QHrU2zV9KLpFFKqT6E9VC4xdaB7zvl9zjm16e4UxaSDeeQ,0.5667,2.9031,0.3673,11146.7,51.67,73.63,1789.07,13.57,9511.97,0.9025,5,30,6,5.7033,0.6392,4.3397,6.91,-1.1406,-0.2,0.0291,0
ZEimyJCcTgezKLk0AU8R04Qg82SMxcedRRIrRZ5H71VJHLbT1R_T8acJ7CDmzlG60UqFT_DZTFIHJw,0.6875,2.983,1.608,25499.12,41.59,26.31,1626.97,15.25,13626.03,0.9342,5,32,4,10.2671,0.6227,2.4097,13.28,0.9727,0.25,0.0224,0
ZMjTL4l7mK9WWXkBgzGDNTSrujUEu5uKBRz_4WotU7jfP8YEHgT2-iF8iA5YNoQkAF5rlQZsy_84PQ,0.5833,4.9326,1.9663,30142.75,219.0,19.04,1676.62,14.75,13499.08,0.9191,4,24,2,1.5444,0.6373,16.0255,1.5,-1.2601,-0.1667,0.0471,1
Z_Fdw2EtJHMPqevS8LC5gaRS1YE2Y9rd1PmUwsSuL5WBfvD36O6mVh7atmgeIVjqhtNaqek4fgIXrQ,0.4,1.58,0.5133,21159.48,178.76,39.36,1688.92,15.4,10900.68,0.9491,15,25,6,6.5601,0.771,3.7994,6.58,-0.6156,-0.1923,1.2603,0
ZbhTMCI5OR9ETZcmBuodB7F6YFQdHwR__XmXIzyCEdRGAF3_91dbLz7UpYHb-6HZxB8LPtWBiZU4Og,0.36,1.4874,0.8908,16556.24,163.32,21.16,1492.64,14.32,9936.0,0.8988,5,25,3,2.0966,0.6947,11.8003,2.12,0.7689,0.0513,0.0143,0
ZzSY_O_iWbKYDnKVEXRpXVPIxifHRn1mcBWCr5mNQK7c9ef8clebHMbvULL4z32uqxaBbX4U3YaoZw,0.4412,2.8208,1.4509,25349.62,146.03,24.91,1794.5,15.32,13805.03,0.9646,22,34,6,4.9439,0.688,4.9906,6.81,-0.6012,-0.1765,0.0289,1
_7_WnE-mT9M8MRVvtfu0f7-hibEzryk8GDUJ_875vZU8mwzSO3IhDQtMwJp8tGdAAC0Pyv8DMImB5w,0.5312,2.8182,1.526,25902.5,225.75,21.81,1619.5,14.69,13835.75,0.9171,19,32,6,37.2182,0.5929,0.6655,48.09,0.5501,0.0625,0.0193,0
_h0G932EANPnzmecyBIC8G8TD2JBa_v9MPHiLRDAzM57PFl5EufI9tvA5X-6mg3UTyqKxw_DrbfgZA,0.625,2.6293,1.4828,26904.33,189.67,21.46,1672.92,16.62,12902.62,0.9011,6,24,4,3.0236,1.0835,8.2319,2.92,-0.4226,-0.4167,0.066,0
_k8ypgeRsLFiY93Z7AL5WEvWa-cYc0KkNunxoeXnWB-eThn0y9JiMerqTcd-gIoU5z8x0iGNdikbTw,0.6452,3.1703,1.4396,22992.77,70.77,37.71,1651.16,15.39,13051.58,0.9365,17,31,8,32.6273,0.5784,0.7597,40.81,0.7307,0.0875,0.0242,1
_lubVSUFjTQ8rGsYF-jHwO-ssUVwafysuhp2yObwAHIBeWfAxbp_3i9fta1IbvRGaxQGpTiy0-AOOg,0.4231,1.6012,0.869,25652.23,216.35,27.04,1713.69,16.42,12340.35,0.9309,13,26,4,3.9577,0.647,6.2757,4.14,0.4094,0.2308,0.9339,0
_sS5dxhx7s1laoJ3mOn2g0QAO4BIubsukOLw8i8wVa0grOs_JnRZYb9j7b_3lyzWeGd723oFJDlqFQ,0.3939,1.5434,0.5509,22106.73,105.52,43.3,1726.85,14.03,10483.24,0.9075,8,33,3,1.4228,0.6425,17.2151,1.92,-0.4048,-0.0846,0.0258,0
aCFZBnXjcqLIrmNr0W0Lw_vdg5T6M_sor9TfsUjhTwYGBLK4gh_Jv-56S10Y58UH7cXIWBr-ZYvpdQ,0.2381,1.9338,0.5033,18151.1,140.0,41.14,1692.38,13.81,10475.86,0.9575,17,21,5,7.2979,0.6304,3.442,6.1,-1.6947,-0.5,0.0479,0
aHeRPSL_mkJHwZII6II3sfKQE_C2-vBuCbC7z557XKZ221jJN3lT5mb6dDPv5Q_Uqj83Iyq1gOYLDQ,0.5,2.6259,0.741,26882.9,39.6,0.0,1112.0,16.9,13192.7,0.9215,10,10,3,8.165,0.5392,3.251,3.08,-0.4733,0.2,0.0225,0
aIfUP_xyRVeoBDUWWeyaR-YmxoyF2lXeVIYLYm1xqnCVney35WqCAwxWmTABoF-YXutQ5b1-KGL4OA,0.5,3.5615,1.5308,24967.43,159.18,38.36,1768.68,14.46,12885.79,0.9227,11,28,6,4.0061,0.7195,6.1907,4.52,0.3812,0.2857,0.0253,0
anLppGiSuBWfzikXwjgwxWaKsr7oSjFkqPgfwAJ9NNQgWdhWoaPOb-4kv8xcqSCYwiilIknji_vMoA,0.4783,3.5641,1.3077,23189.65,122.26,47.26,1803.43,14.39,11529.87,0.926,4,23,4,3.4003,0.6704,7.3276,3.14,0.0462,0.0455,0.0339,0
bOE0-z9zSxKb7bzvIPXaGYPIlFvR9gFCkGq_m71W5VP_XH4cNk6pRZyYK42YdiXTjZN7yxqcBlxmpA,0.5172,2.8718,1.359,18830.62,174.52,25.86,1645.41,15.1,10761.03,0.9183,4,29,7,7.2148,1.1554,3.4397,8.43,2.3543,0.4476,0.9156,0
bOQIQSmNX6VwO1cX8j_GThsDqNlqksPb5Gp7uZv8hzjM2z_P7hRCTf-BNEWGxsNxXxc_kgR_GWkrww,0.6071,4.3107,0.6117,9787.21,37.43,41.25,1578.21,13.79,10296.93,0.8939,7,28,4,7.9954,0.6634,3.1057,9.02,-1.1057,-0.3571,0.0667,0
bRcv0e32jW0q62owsShNbBLSvUWogF2agYDOpHY4evphhhDHaawXOuHXA9a0yzZSxS3zi4n2G_RG0w,0.7667,4.0306,2.1837,25200.67,218.4,29.43,1567.0,16.47,12651.07,0.9116,16,30,11,8.2294,2.0437,3.0129,9.96,-0.7328,0.0667,0.029,0
beyieujbyvlVZqV_ajgwxmQjZWzqvkJZOAE7zZEwTatQOYvKagaD246Sm82_PyRxchqcsFyT8bX_9A,0.5455,5.4512,2.2195,23248.23,48.09,27.55,1740.91,15.64,13165.91,0.8963,2,22,3,2.711,0.7133,9.1803,2.4,-0.695,-0.1818,0.0297,0
bf95fKFyuVvOFXIv-ftdo8PHlejlTUj4vA7v7h8t7kVpJUbFi3CHdA5UN-vjIJ36EPc0yOwA6RD_EQ,0.5333,1.9641,0.8969,26825.77,189.43,24.77,1699.37,14.63,13349.93,0.9371,20,30,5,3.214,0.7746,7.6646,3.91,-0.1229,-0.2667,0.0208,0
buULzLWueLa-Ap5tuqZmgmhctNkITr9H_4OwhGFL0791v_1xxElm354Y9D--OwSuFH3cymSjeIM9QA,0.5357,3.0992,1.3636,22436.96,100.39,23.64,1550.68,14.46,12241.86,0.8976,16,28,6,5.187,0.694,4.7794,5.86,0.1339,-0.0714,0.0266,0
cKu3YyW9haeHdbzWsdQWag-J1nj0u8Wq8mOWw1M8vQhc2rwlI0U_vAQd0XlXZwbeLQphIq_96wbyxw,0.5333,3.6364,0.5758,12007.2,49.5,71.07,1687.2,12.8,9037.83,0.8953,7,30,7,4.8465,0.8996,5.0988,5.88,0.9182,0.4,0.0421,0
cNGvVUxve6G0XZo64RBzCUj7gKdvVGM1uXexzxrKBOqKZQTWWsplC_byU2B70mimJQXJQoAqxC-dug,0.5484,3.4857,0.4,10811.97,37.45,75.94,1786.97,13.32,9459.9,0.8999,3,31,4,2.1398,0.6818,11.4874,2.7,-0.6915,-0.2292,0.0264,1
cUAWbepOqsYr0ovtZ-DBvlO0OpWpBQ2bG9YTqvqDpnmzYSV1rmKNduuWi9xC7MVivjTsUvvvyIYp2Q,0.4062,2.6466,1.203,21516.84,204.09,15.69,1586.06,14.47,11224.81,0.9066,7,32,5,3.168,1.0215,7.8001,4.1,0.4677,0.0625,0.0337,0
cUhqi_9vaduHIjtANE7hVn2AUnzm-2JwHE2jwmpohxXH1K5Cw18W29Yqv7k18iOiOFrOdUomUZFIOw,0.6333,3.0922,0.4113,11729.07,78.27,72.73,1692.37,13.63,8902.47,0.9133,14,30,13,12.0781,6.7152,2.052,14.62,0.0569,0.0667,0.5047,1
